"時刻","目的地","プラットフォーム","種別"
"04:39","高尾行",2,"各駅"
"04:58","高尾行",1,"各駅"
"05:10","高尾行",2,"各駅"
"05:22","高尾行",2,"各駅"
"05:33","高尾行",2,"各駅"
"05:43","高尾行",1,"各駅"
"05:55","河辺行",2,"各駅"
"06:06","高尾行",1,"快速"
"06:12","高尾行",2,"中央特快"
"06:16","高尾行",1,"快速"
"06:22","高尾行",2,"快速"
"06:23","高尾行",2,"快速"
"06:28","高尾行",1,"快速"
"06:33","高尾行",2,"中央特快"
"06:38","青梅行",1,"快速"
"06:48","高尾行",1,"快速"
"06:55","高尾行",1,"快速"
"06:59","高尾行",2,"快速"
